unidade;ano;mes;ineficiencia
HAC;2025;1;1,5267
HAC;2025;2;1,4794
HAC;2025;3;1,5908000000000002
HAC;2025;4;1,3506
HAC;2025;5;1,5129
HAC;2025;6;1,3161
HAC;2025;7;1,6600999999999997
HAC;2025;8;1,4393
HAC;2025;9;1,3805
HAC;2025;10;1,7218
HAC;2025;11;1,4334
HEM;2025;1;1,4035
HEM;2025;2;1,3419
HEM;2025;3;1,5225
HEM;2025;4;1,3316
HEM;2025;5;1,2706
HEM;2025;6;1,4464
HEM;2025;7;1,3363
HEM;2025;8;1,2408
HEM;2025;9;1,5421
HEM;2025;10;1,2774
HEM;2025;11;1,3958
HIJPII;2025;1;1,4443
HIJPII;2025;2;1,3426
HIJPII;2025;3;1,2255000000000003
HIJPII;2025;4;1,158
HIJPII;2025;5;1,1414
HIJPII;2025;6;0,9257
HIJPII;2025;7;1,2025
HIJPII;2025;8;1,3008
HIJPII;2025;9;1,5947
HIJPII;2025;10;1,4705
HIJPII;2025;11;1,2778
HJK;2025;1;1,5392
HJK;2025;2;1,7159
HJK;2025;3;1,5151
HJK;2025;4;1,4668
HJK;2025;5;1,3524999999999998
HJK;2025;6;1,0959
HJK;2025;7;1,449
HJK;2025;8;1,3163
HJK;2025;9;1,2914
HJK;2025;10;1,2409
HJK;2025;11;1,5375
HJXXIII;2025;1;1,4294
HJXXIII;2025;2;1,4434
HJXXIII;2025;3;1,6155
HJXXIII;2025;4;1,3379
HJXXIII;2025;5;1,4978
HJXXIII;2025;6;1,4668
HJXXIII;2025;7;1,5574
HJXXIII;2025;8;1,5182
HJXXIII;2025;9;1,7435
HJXXIII;2025;10;1,4333
HJXXIII;2025;11;1,2139
HMAL;2025;1;0,0
HMAL;2025;2;0,0
HMAL;2025;3;0,0
HMAL;2025;4;0,0
HMAL;2025;5;0,0
HMAL;2025;6;0,0
HMAL;2025;7;0,0
HMAL;2025;8;0,0
HMAL;2025;9;0,0
HMAL;2025;10;0,0
HMAL;2025;11;0,0
HRAD;2025;1;1,2246
HRAD;2025;2;1,0594
HRAD;2025;3;1,2125
HRAD;2025;4;0,998
HRAD;2025;5;1,148
HRAD;2025;6;1,1968
HRAD;2025;7;0,9564
HRAD;2025;8;1,0831
HRAD;2025;9;0,9603
HRAD;2025;10;0,8767
HRAD;2025;11;0,8462
HRBJA;2025;1;1,4969
HRBJA;2025;2;1,3492
HRBJA;2025;3;1,4684
HRBJA;2025;4;1,3237
HRBJA;2025;5;1,3811
HRBJA;2025;6;1,4875
HRBJA;2025;7;1,4807
HRBJA;2025;8;1,4999
HRBJA;2025;9;1,783
HRBJA;2025;10;1,5165
HRBJA;2025;11;1,5387
HRJP;2025;1;1,7948000000000002
HRJP;2025;2;1,6117
HRJP;2025;3;1,6475
HRJP;2025;4;1,7361
HRJP;2025;5;1,5634
HRJP;2025;6;1,5819
HRJP;2025;7;1,579
HRJP;2025;8;1,4975
HRJP;2025;9;1,6762
HRJP;2025;10;1,5097
HRJP;2025;11;1,5982
MOV;2025;1;1,3053
MOV;2025;2;1,2967
MOV;2025;3;1,4623999999999997
MOV;2025;4;1,2698
MOV;2025;5;1,3299
MOV;2025;6;1,4484
MOV;2025;7;1,4048
MOV;2025;8;1,3474
MOV;2025;9;1,2602
MOV;2025;10;1,3403
MOV;2025;11;1,1316
